Node1,Node2,Sign
Q96J02,Q86Y01,-1
O75460,P17861,1
Q92993,P15172,1
P49841,Q92993,1
Q92993,Q9BZS1,1
P53350,Q08050,1
Q15349,Q15831,-1
Q15349,O75030,-1
Q15349,P49841,-1
Q13131,P14859,-1
P27361,Q15831,-1
P27361,P29350,-1
P27361,Q12778,-1
P27361,P49841,-1
P27361,P41182,-1
P27361,O95644,-1
P20749,Q00653,1
P15172,P51532,1
P51532,Q8TAQ2,1
P51532,P37275,1
P40763,P15172,-1
Q13485,P49711,1
O75925,Q13485,1
P37173,Q13485,1
Q13485,Q15329,1
O00716,P10244,1
P09874,P10244,1
P31946,P46937,-1
P46937,Q15561,1
P46937,P28347,1
Q13131,P49116,-1
P19838,Q13489,1
Q5VWQ8,O75460,1
P28482,P36956,1
Q13131,P36956,-1
P28482,P48552,1
P06400,O00716,-1
Q15418,P11831,1
Q15418,P22736,1
P28482,Q15418,1
Q15418,P50549,1
P06493,P15172,-1
P06493,Q15910,-1
P06493,P39880,-1
Q14209,Q15910,1
Q01094,Q14209,1
P06400,Q14209,-1
Q15831,P49841,1
Q15831,P43268,1
Q05655,P29350,1
P29350,O60716,1
Q06945,Q9NQB0,1
Q13489,Q13546,1
P67775,Q05655,-1
P67775,P28482,-1
Q07869,Q12778,-1
P31946,Q12778,-1
P41235,Q12778,1
O43474,P11831,-1
P68400,O15379,1
P20749,O15379,1
O15379,Q01094,1
P68400,O75925,1
O75925,O75626,1
P42226,P42224,-1
Q05655,P42224,1
P28482,P42224,1
Q15788,P11473,1
P28482,Q15788,1
Q01094,Q15910,1
O60674,Q15910,-1
P45983,P22736,-1
Q13535,P53350,-1
P68400,P11831,1
Q9UQM7,P15036,-1
P45984,P17275,-1
P68400,Q8TAQ2,1
P68400,P11473,1
P28482,P68400,1
P68400,Q9UER7,1
P68400,O95644,1
P68400,P17480,1
P49841,P20749,1
Q15759,Q16236,-1
P06400,Q01094,-1
P09874,Q01094,1
P28482,Q01094,1
P84022,Q06710,-1
Q13546,Q5VWQ8,1
P49407,P55085,-1
P06400,P17480,-1
P28482,O75030,1
P28482,P22736,1
P22736,P24468,1
P28482,P09874,1
Q9UER7,P37173,1
P37173,P62714,1
P28482,Q12772,1
Q05655,Q13887,1
P28482,P17535,1
Q5VWQ8,P49841,1
P49841,P33076,1
P28482,Q9BY84,1
P28482,P19419,1
P28482,P23769,1
P28482,P28324,1
P28482,P56693,1
Q13131,P41235,-1
O00257,O60315,-1
P24468,P10589,1
P33076,O14593,1
Q12778,P15172,1
P14859,Q5VTD9,1
P14859,O43623,1
P49715,Q06945,-1
Q01860,Q92908,-1
Q92826,P15884,-1
Q01860,O95936,-1
Q01860,O15178,-1
P55085,Q99612,1
P48436,P49716,-1
Q9Y6K1,O00470,-1
Q9Y6K1,P31269,-1
P31269,P04198,1
Q96J02,Q15796,1
P46937,Q96J02,-1
P45983,Q96J02,1
Q96J02,P46531,1
O15350,P55212,1
P55212,P05549,1
Q92993,P40763,-1
Q92831,O15350,1
P27361,Q15349,1
Q15349,P18848,1
P27361,Q15796,1
P27361,P40763,1
P27361,P05412,1
P27361,P45983,1
P27361,P15336,1
P27361,Q06546,1
P27361,P42229,1
P27361,Q16665,1
P27361,P17676,1
Q05655,P27361,-1
P27361,Q07869,1
P27361,Q01196,1
P27361,Q02447,1
P27361,P08047,1
P27361,P14921,1
P27361,P17542,1
P27361,P56270,1
Q15796,Q15797,1
Q92831,Q15796,1
P67775,Q15796,1
Q15796,Q9UJU2,1
P45983,Q15796,1
Q15796,Q02078,1
Q15796,P84022,1
Q15796,P08047,1
Q15796,Q06413,1
P42229,Q9Y6K1,1
P29350,P40763,-1
P40763,O43474,1
P40763,P18146,1
P45983,P40763,1
P45984,P40763,1
P17676,P40763,1
P84022,P40763,1
P40763,P17947,1
O60674,P40763,1
Q5VWQ8,P40763,-1
P46531,Q15797,1
P28482,Q15797,-1
P10599,P27540,1
P27540,P35869,1
P49715,P22415,1
P49715,P17947,1
P28482,P49715,-1
Q92831,P10914,1
Q92831,P46531,1
Q92831,P84022,1
P05114,Q92831,1
Q92831,Q06413,1
Q92831,Q9Y2Y9,1
Q96GD4,P25490,1
P23246,Q15233,1
P48552,Q13285,-1
P49841,P10070,-1
Q12778,Q9Y618,-1
Q07869,Q9Y618,1
P49841,P06493,-1
P06493,P08047,1
P28482,P06493,-1
P06493,Q01167,1
Q15831,Q13153,-1
P67775,Q9UQM7,1
P67775,P06400,1
P67775,O43524,1
P67775,P08047,1
O60674,P67775,1
Q06546,P10599,1
P10599,P08047,1
Q01094,P20226,-1
P05412,P18146,1
O15379,O60675,-1
P45983,Q14653,1
Q14653,P01574,1
P46531,P48431,1
P42224,Q16665,-1
P46531,Q9UJU2,1
P84022,Q9UJU2,1
P45983,P05412,1
P45984,P05412,1
P68400,P05412,-1
Q15759,P05412,1
P05412,P15407,1
P06400,P05412,1
P11473,P05412,-1
P05412,P17947,1
P49841,P05412,-1
P05412,P14921,1
P05412,P15408,1
P45983,P10276,1
P10242,P23771,1
P10242,P17676,1
P28482,P10242,-1
P45983,P45984,1
P45983,P15336,1
P45983,P42229,1
P45983,P84022,1
P45983,O43524,1
P45983,P08047,1
P28482,P45983,-1
P45983,P17544,1
Q9BY84,P45983,-1
Q13535,Q03164,1
Q13535,P08047,1
P41182,Q13535,-1
P42226,P23771,1
P84022,P23771,1
P68400,P61244,-1
P84022,P61244,1
Q03164,Q01201,1
Q96GD4,P06400,1
P09874,Q96GD4,-1
O60674,P42226,1
P45984,P15336,1
P45984,P84022,1
P45984,O43524,1
Q9BY84,P45984,-1
Q15759,P22415,1
P68400,P05114,-1
P68400,P08047,-1
P68400,Q13133,-1
P68400,Q13422,-1
P68400,Q01892,-1
Q15759,P15336,1
P06400,P15336,1
Q15759,Q02078,1
Q15759,O60381,1
Q9BY84,Q15759,-1
Q15759,Q06413,1
P49841,P15407,-1
P15408,P15407,1
P10914,Q9BX63,1
P49841,Q96RR4,-1
Q96RR4,Q13131,1
P46531,Q16665,1
P84022,P46531,1
P28482,P49407,-1
P06400,Q16665,1
P06400,Q02447,1
P06400,P08047,1
P01574,P48551,1
Q13153,P78545,1
P08047,Q9UL17,1
O60674,P42229,1
P49841,P23246,-1
P28482,P84022,-1
Q03164,Q01196,1
P09874,Q9UGL1,-1
Q9BZS1,P51449,-1
Q05655,P31946,-1
Q05655,P10588,-1
P28482,O43524,-1
Q13131,O43524,1
P23769,P17947,-1
Q02447,P08047,1
O60716,Q86T24,-1
P49841,Q14494,-1
Q9UGL1,O00257,1
Q5VWQ8,O60674,-1
P28482,Q01860,-1
Q5VWQ8,P31946,-1
Q86Y01,P50553,-1
P48551,Q00978,1
P78545,Q9NZC4,1
P62714,P32519,-1
P23771,P11308,1
Q06413,P05412,1
Q9UJU2,P49715,1
P17542,Q06413,1
P17542,P11308,1
Q5VTD9,Q06413,-1
P04198,Q06413,-1
P31269,Q06413,-1
Q01860,P48431,1
P37275,Q6ISB3,-1
Q15910,Q92826,-1
O15054,Q15306,1
P46531,Q99081,1
P27361,P48436,1
Q16552,P57682,1
P42226,Q07869,1
P42226,O15054,1
P42226,O43474,1
P51449,Q16552,1
P62258,P46937,-1
P62258,Q12778,-1
P00747,P55085,1
P11831,P00747,1
P61981,P46937,-1
P61981,Q12778,-1
Q5VWQ8,P61981,-1
