Node1,Node2,Sign
Q09472,Q13950,1
P27361,Q13950,1
P84022,Q13950,-1
P31751,P04792,-1
O15111,Q00653,1
P49116,O15111,1
O15111,P19838,1
O15111,Q9Y6Q9,1
P31749,O15111,1
O15111,Q04206,1
P12755,Q99717,-1
P27361,Q09472,1
Q09472,P35222,1
P31749,Q09472,1
Q09472,Q15596,1
Q09472,Q02078,1
Q09472,Q04206,1
P12755,Q09472,-1
P27361,Q15788,1
P27361,P68400,1
P27361,Q04206,1
P27361,Q01196,1
P27361,Q02447,1
Q16539,P27361,-1
P27361,P17542,1
P27361,Q15648,1
Q16656,P05198,1
P31749,Q16656,1
P46937,P35222,1
P35222,Q9NQB0,1
P31749,P35222,1
P68400,P35222,1
P49841,P35222,-1
P35222,P98177,1
Q99626,P35222,-1
P35222,Q9HCS4,1
Q00653,Q01201,1
P31751,P46937,-1
P46937,Q15561,1
P46937,P28347,1
Q15750,P49116,1
P23771,P49715,-1
P61244,P49715,-1
P49715,P22415,1
P28482,P49715,-1
P19838,Q04206,1
P06400,O00716,-1
P49841,P10070,-1
P24941,Q08999,-1
Q08999,Q15329,1
P31751,O75376,-1
P06400,Q14209,-1
P28482,P29350,-1
P24941,Q9H3D4,-1
P24941,P98177,-1
P06400,P20226,-1
P31751,P49840,-1
P68400,O75925,1
O75925,P48436,1
O75925,O75626,1
P42224,Q04206,-1
Q15788,P06401,1
Q15596,P10276,1
P31751,P10276,-1
P68400,P31749,1
Q13547,Q06330,-1
Q13535,Q03164,1
P41182,Q13535,-1
P26367,O75444,1
P23771,Q9UL17,-1
Q13547,O60675,-1
Q13547,Q04206,-1
Q03164,Q01201,1
O60674,P42226,1
P31751,Q9UBK2,-1
P31751,P98177,-1
P31751,P17542,-1
P68400,Q04206,1
P68400,P17480,1
Q02750,P17542,-1
P49841,P15407,-1
P84022,Q06710,-1
P06400,P21675,-1
P06400,P17480,-1
P28482,P06401,-1
Q9UBK2,P11474,1
P84022,P26367,-1
Q03164,P31269,1
Q03164,Q01196,1
P09874,Q9UGL1,-1
Q16539,Q15750,-1
P49841,Q13887,-1
P49841,Q14494,-1
P28482,P98177,-1
Q5VWQ8,O60674,-1
Q9UER7,P01137,-1
P28482,P17480,-1
Q15648,Q92908,1
P28347,P98177,1
Q13547,P49715,-1
P49715,O15055,1
P25490,Q92826,-1
Q5VWQ8,P37275,-1
Q06330,Q00653,1
P42226,Q9UBK2,1
P05198,P18848,1
P27361,P48436,1
Q9Y6K1,O00470,-1
Q9Y6K1,P31269,-1
P78396,P19544,-1
P12931,P51692,1
P08887,P12931,1
P12931,P42224,1
P12931,P31751,1
P12931,Q02750,1
P12931,P42229,1
P12931,P28482,1
Q14790,P55212,1
P55212,P05549,1
O75460,P17861,1
P04792,Q9UER7,-1
P24941,Q08050,1
P53350,Q08050,1
Q02750,Q08050,1
O15111,Q12778,-1
O15111,Q9Y261,-1
O15055,P14859,-1
Q09472,Q12778,-1
Q09472,P41182,-1
O15055,O00327,-1
P27361,Q14790,-1
P27361,Q15831,-1
P27361,Q12778,-1
P27361,P49841,-1
P27361,P41182,-1
Q15796,Q15797,1
Q15796,P16220,1
Q92831,Q15796,1
Q15796,P84022,1
Q15796,P08047,1
Q15796,Q16254,1
P28482,Q15796,1
Q15796,Q06413,1
